name,period,reason,trades,mean_net_pct
ablation_no_confirmations,stress27,scheduled_flatten,23,0.6794880738844828
ablation_no_confirmations,stress27,soft_failure_loss,138,-0.11654663948580665
ablation_no_confirmations,stress27,trailing,7,0.005150403699228246
ablation_no_confirmations,all83,failed_followthrough,97,-0.0560093437439764
ablation_no_confirmations,all83,scheduled_flatten,58,0.9692397700638493
ablation_no_confirmations,all83,soft_failure_loss,431,-0.1375654617750059
ablation_no_confirmations,all83,trailing,19,0.10984583976292293
ablation_without_rvol,fit28,failed_followthrough,24,-0.0626462101554978
ablation_without_rvol,fit28,scheduled_flatten,10,1.342193584259905
ablation_without_rvol,fit28,soft_failure_loss,82,-0.13336665417933907
ablation_without_rvol,fit28,trailing,2,-0.20556100516488982
ablation_without_rvol,validation28,failed_followthrough,27,-0.057187790055136585
ablation_without_rvol,validation28,scheduled_flatten,14,1.2709435869859689
ablation_without_rvol,validation28,soft_failure_loss,112,-0.15651566972927197
ablation_without_rvol,validation28,trailing,5,0.6283544846046257
ablation_without_rvol,development56,failed_followthrough,51,-0.05975645833765952
ablation_without_rvol,development56,scheduled_flatten,24,1.300631085850109
ablation_without_rvol,development56,soft_failure_loss,194,-0.14673103429064055
ablation_without_rvol,development56,trailing,7,0.3900929160990497
ablation_without_rvol,stress27,failed_followthrough,34,-0.054062696049104964
ablation_without_rvol,stress27,scheduled_flatten,15,0.9620751036416072
ablation_without_rvol,stress27,soft_failure_loss,107,-0.11118347120716383
ablation_without_rvol,stress27,trailing,3,0.40249977940645554
ablation_without_rvol,all83,failed_followthrough,85,-0.057478953422237675
ablation_without_rvol,all83,scheduled_flatten,39,1.1704172465391465
ablation_without_rvol,all83,soft_failure_loss,301,-0.1340945251546538
ablation_without_rvol,all83,trailing,10,0.3938149750912715
ablation_without_rsi,fit28,failed_followthrough,27,-0.05344738348982452
ablation_without_rsi,fit28,scheduled_flatten,4,0.9896832387318384
ablation_without_rsi,fit28,soft_failure_loss,80,-0.12707137639218188
ablation_without_rsi,fit28,trailing,3,-0.38810371766554097
ablation_without_rsi,validation28,failed_followthrough,23,-0.09024331208507962
ablation_without_rsi,validation28,scheduled_flatten,20,0.8463737711665204
ablation_without_rsi,validation28,soft_failure_loss,112,-0.1568945184546314
ablation_without_rsi,validation28,trailing,7,-0.12461641193164832
ablation_without_rsi,development56,failed_followthrough,50,-0.07037351064364189
ablation_without_rsi,development56,scheduled_flatten,24,0.8702586824274068
ablation_without_rsi,development56,soft_failure_loss,192,-0.1444682092619441
ablation_without_rsi,development56,trailing,10,-0.2036626036518161
ablation_without_rsi,stress27,failed_followthrough,26,-0.03887316393767967
ablation_without_rsi,stress27,scheduled_flatten,13,0.35728072414025774
ablation_without_rsi,stress27,soft_failure_loss,111,-0.1063292347264108
ablation_without_rsi,stress27,trailing,3,0.39580835419448485
ablation_without_rsi,all83,failed_followthrough,76,-0.05959707624423376
ablation_without_rsi,all83,scheduled_flatten,37,0.6900231835697597
ablation_without_rsi,all83,soft_failure_loss,303,-0.13049650571922397
ablation_without_rsi,all83,trailing,13,-0.06532315184113127
ablation_previous_entry,fit28,failed_followthrough,7,-0.04058403013587028
ablation_previous_entry,fit28,scheduled_flatten,3,1.0369849790653323
ablation_previous_entry,fit28,soft_failure_loss,17,-0.09209287188672917
ablation_previous_entry,validation28,failed_followthrough,14,-0.042780896857819294
ablation_previous_entry,validation28,scheduled_flatten,2,1.922517992997285
ablation_previous_entry,validation28,soft_failure_loss,25,-0.11644994563844299
ablation_previous_entry,development56,failed_followthrough,21,-0.042048607950502956
ablation_previous_entry,development56,scheduled_flatten,5,1.3911981846381136
ablation_previous_entry,development56,soft_failure_loss,42,-0.10659113007227311
ablation_previous_entry,stress27,failed_followthrough,10,-0.04952773930978481
ablation_previous_entry,stress27,scheduled_flatten,3,0.31991202927514517
ablation_previous_entry,stress27,soft_failure_loss,21,-0.08183747454268521
ablation_previous_entry,stress27,trailing,1,-1.263616764708968
ablation_previous_entry,all83,failed_followthrough,31,-0.04446123096962613
ablation_previous_entry,all83,scheduled_flatten,8,0.9894658763770005
ablation_previous_entry,all83,soft_failure_loss,63,-0.0983399115624105
ablation_previous_entry,all83,trailing,1,-1.263616764708968
ablation_previous_exit,fit28,failed_followthrough,21,-0.25233101396861685
ablation_previous_exit,fit28,scheduled_flatten,7,1.686496298270657
ablation_previous_exit,fit28,structural,32,-0.12791285215024903
ablation_previous_exit,fit28,trailing,2,-0.37565505812967487
ablation_previous_exit,validation28,failed_followthrough,33,-0.3168844061732097
ablation_previous_exit,validation28,scheduled_flatten,14,0.683956396404868
ablation_previous_exit,validation28,structural,51,0.0005762657792012083
ablation_previous_exit,validation28,trailing,5,-0.8428440830989024
ablation_previous_exit,development56,failed_followthrough,54,-0.2917803092047569
ablation_previous_exit,development56,scheduled_flatten,21,1.0181363636934646
ablation_previous_exit,development56,structural,83,-0.04896170739841819
ablation_previous_exit,development56,trailing,7,-0.7093615045362658
ablation_previous_exit,stress27,failed_followthrough,41,-0.16683179698172923
ablation_previous_exit,stress27,scheduled_flatten,14,0.4932616221462493
ablation_previous_exit,stress27,structural,27,-0.22546278918956697
ablation_previous_exit,stress27,trailing,7,-0.48468739819081147
ablation_previous_exit,all83,failed_followthrough,95,-0.2378551618242923
ablation_previous_exit,all83,scheduled_flatten,35,0.8081864670745784
ablation_previous_exit,all83,structural,110,-0.09228470020170014
ablation_previous_exit,all83,trailing,14,-0.5970244513635388
ablation_no_soft_loss,fit28,failed_followthrough,54,-0.1580391924488371
ablation_no_soft_loss,fit28,scheduled_flatten,6,3.4303437719327876
ablation_no_soft_loss,fit28,trailing,2,-0.3854656600240485
ablation_no_soft_loss,validation28,failed_followthrough,83,-0.17764807208343933
ablation_no_soft_loss,validation28,scheduled_flatten,16,1.4288881176287487
ablation_no_soft_loss,validation28,trailing,4,-0.25372627005617787
ablation_no_soft_loss,development56,failed_followthrough,137,-0.16991902463622383
ablation_no_soft_loss,development56,scheduled_flatten,22,1.9747396597116682
ablation_no_soft_loss,development56,trailing,6,-0.2976394000454681
ablation_no_soft_loss,stress27,failed_followthrough,76,-0.1211021169839202
ablation_no_soft_loss,stress27,scheduled_flatten,10,0.692292167627466
ablation_no_soft_loss,stress27,trailing,3,0.37003992194777297
ablation_no_soft_loss,all83,failed_followthrough,213,-0.15250078528610608
ablation_no_soft_loss,all83,scheduled_flatten,32,1.573974818435355
ablation_no_soft_loss,all83,trailing,9,-0.07507962604772107
ablation_no_fast_failure,fit28,scheduled_flatten,10,1.7379261323250073
ablation_no_fast_failure,fit28,soft_failure_loss,49,-0.10773502759508444
ablation_no_fast_failure,fit28,trailing,3,-1.1868294533568289
ablation_no_fast_failure,validation28,scheduled_flatten,21,0.7946587104233288
ablation_no_fast_failure,validation28,soft_failure_loss,75,-0.1559821386592922
ablation_no_fast_failure,validation28,trailing,7,-0.4798776016531889
ablation_no_fast_failure,development56,scheduled_flatten,31,1.0989385239399994
ablation_no_fast_failure,development56,soft_failure_loss,124,-0.136916747996823
ablation_no_fast_failure,development56,trailing,10,-0.6919631571642808
ablation_no_fast_failure,stress27,scheduled_flatten,15,0.34958310215838284
ablation_no_fast_failure,stress27,soft_failure_loss,72,-0.09697788926847531
ablation_no_fast_failure,stress27,trailing,2,0.802919516763548
ablation_no_fast_failure,all83,scheduled_flatten,46,0.8545834950981679
ablation_no_fast_failure,all83,soft_failure_loss,196,-0.1222453305047769
ablation_no_fast_failure,all83,trailing,12,-0.442816044842976
