ablation,period,trades,payoff,delta_payoff_vs_selected,mean_trade_pct,delta_mean_trade_pct,avg_win_pct,avg_loss_pct,mtm_mdd_pct
ablation_no_confirmations,fit28,186,10.094841098491168,-33.128446197899244,-0.0215782025840201,-0.1976627966027095,1.3209379622099446,-0.1308527741370173,-3.3185816743729
ablation_no_confirmations,validation28,216,8.68385272458235,-1.548056624439111,-0.0020364435350338,-0.060762998138056204,1.2925454052365457,-0.1488446944266561,-4.211473727495251
ablation_no_confirmations,development56,402,9.285503451413708,-7.550674121717718,-0.0110781529457588,-0.1139028799352743,1.3035869551706454,-0.140389475055569,-6.739512508970858
ablation_no_confirmations,stress27,203,7.4190020716815965,-4.479040014197308,-0.0096907648512285,-0.0359534933329528,0.8207673896705903,-0.1106304300417258,-3.679649937321861
ablation_no_confirmations,all83,605,8.583028053008551,-6.937896344619958,-0.010612632642966,-0.086610517635657,1.120448499291314,-0.130542332189928,-7.120643458411169
ablation_without_rvol,fit28,118,16.527991049939857,-26.695296246450553,0.0048410097104366,-0.1712435843082528,2.010553971833781,-0.1216453933063508,-3.154690753168421
ablation_without_rvol,validation28,158,10.402419998214077,0.17051064919261627,0.0117794765801237,-0.0469470780228987,1.485125377107415,-0.1427672962024593,-4.132151699644959
ablation_without_rvol,development56,276,12.373416773889597,-4.4627607992418294,0.0088130305996053,-0.09401169638991021,1.652307202702168,-0.1335368583226638,-4.13215169964497
ablation_without_rvol,stress27,159,10.831762918611595,-1.066279167267309,0.0119739799245746,-0.014288748557149698,1.1161341875292423,-0.1030427083675782,-3.5079919182132717
ablation_without_rvol,all83,435,11.713430728964797,-3.807493668663712,0.0099684120770079,-0.0660294729156831,1.4349397641185495,-0.1225037990424318,-4.568888044492281
ablation_without_rsi,fit28,114,8.598961538629595,-34.624325757760815,-0.0773190145935884,-0.2534036086122778,1.0025164580525303,-0.1165857590534472,-2.2206421093246558
ablation_without_rsi,validation28,162,5.281288195705142,-4.950621153316319,-0.0221766771917696,-0.080903231794792,0.7968226846025226,-0.1508765769023012,-4.626199746961268
ablation_without_rsi,development56,276,6.101158539821774,-10.735019033309651,-0.0449528600316513,-0.1477775870211668,0.8284678805179082,-0.1357886170488055,-4.626199746961257
ablation_without_rsi,stress27,153,6.481135283340168,-5.416906802538736,-0.0456285806575455,-0.0718913091392698,0.6399026696207486,-0.0987331141298077,-3.123330291410253
ablation_without_rsi,all83,429,6.3123042643874205,-9.208620133241087,-0.0451938513038233,-0.12119173629651431,0.7724079529538878,-0.1223654501750869,-5.934518702770763
ablation_previous_entry,fit28,27,19.52485161096348,-23.69843568542693,0.0467143668211299,-0.1293702271975595,1.7528099190877229,-0.0897732773601974,-1.001420387044616
ablation_previous_entry,validation28,41,21.36020835380348,11.128299004782018,0.0081671899761957,-0.050559364626826704,1.922517992997285,-0.0900046460761678,-2.1112984277663727
ablation_previous_entry,development56,68,20.43795721894259,3.6017796458111633,0.0234726866646255,-0.07935204032489,1.837663956042504,-0.0899142676714919,-2.1112984277663616
ablation_previous_entry,stress27,35,6.6377110789310505,-5.260331006947854,-0.0719355724393648,-0.0981983009210891,0.847271067041468,-0.1276450657412335,-2.8616229131448234
ablation_previous_entry,all83,103,14.671779900986852,-0.8491444966416566,-0.008947595555177,-0.084945480547868,1.5075329930421588,-0.1027505185611978,-2.8616229131448345
ablation_previous_exit,fit28,62,3.444616190087452,-39.77867110630296,0.0268064743465536,-0.1492781196721358,1.2260996365730727,-0.3559466625342501,-3.0032388147733124
ablation_previous_exit,validation28,103,2.023332555716649,-8.208576793304811,-0.0491905506291555,-0.1079171052321779,0.833451328175194,-0.4119200898638196,-5.574724949820597
ablation_previous_exit,development56,165,2.4726695121459232,-14.363508060985502,-0.020634092759495,-0.1234588197490105,0.9643340976411536,-0.3899971641597383,-5.819504271989262
ablation_previous_exit,stress27,89,2.400597673347206,-9.4974444125317,-0.1057836860860381,-0.1320464145677624,0.6533893209851124,-0.2721777698276602,-3.934301990245448
ablation_previous_exit,all83,254,2.5555575550873457,-12.965366842541163,-0.0504699738857247,-0.12646785887841572,0.8827748119608804,-0.3454333517957916,-7.822723527578923
ablation_no_soft_loss,fit28,62,25.188854877122697,-18.034432419267713,0.1818873374082487,0.005802743389559301,4.120067906740584,-0.1635670984980964,-2.9295645342791943
ablation_no_soft_loss,validation28,103,7.305146718142548,-2.9267626308789128,0.0689564545525224,0.0102298999495,1.3586885941438154,-0.1859905962969193,-5.044074530478548
ablation_no_soft_loss,development56,165,11.21856027381363,-5.617617299317796,0.1113910893225529,0.008566362333037397,1.986274801552172,-0.1770525587127731,-5.044074530478548
ablation_no_soft_loss,stress27,89,7.889486225187777,-4.008555860691128,-0.0131541511085388,-0.0394168795902631,1.0268772759338798,-0.1301576866508109,-1.9069828023501436
ablation_no_soft_loss,all83,254,10.658101750892085,-4.862822646736424,0.0677512216124459,-0.0082466633802451,1.7077400360500872,-0.1602292862241768,-5.044074530478548
ablation_no_fast_failure,fit28,62,17.076774129867196,-26.146513166523214,0.1377380098551685,-0.03834658416352091,3.1388177125710883,-0.1838062440072514,-3.590567079956441
