name,period,symbol,direction,jobs,trades,trade_rate_pct,cost_bps,win_rate_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,mean_trade_pct,mean_job_bps,mean_gross_points,worst_stream_mdd_pct,p05_pct,cvar05_pct,worst_trade_pct,trim_top1_mean_pct,held_until_flatten_pct,unclosed_after_day_pct
selected_1m,fit28,US.AAPL,LONG,28,5,17.857142857142858,2,0.0,,-0.05681684084001505,,0.0,-0.05681684084001505,-1.0145864435716974,-0.11490090320000945,-0.2837674548965108,-0.07543796016410362,-0.07727012413629425,-0.07727012413629425,-0.06278490986691206,0.0,0.0
selected_1m,fit28,US.AAPL,SHORT,28,0,0.0,2,,,,,,,0.0,,0.0,,,,,,0.0
selected_1m,fit28,US.AMD,LONG,28,2,7.142857142857143,2,0.0,,-0.09872201417634417,,0.0,-0.09872201417634417,-0.7051572441167441,-0.39974999999995475,-0.19736185944962958,-0.1339158784110292,-0.13782630777043864,-0.13782630777043864,-0.13782630777043864,0.0,0.0
selected_1m,fit28,US.AMD,SHORT,28,2,7.142857142857143,2,0.0,,-0.20466527592399603,,0.0,-0.20466527592399603,-1.461894828028543,-0.9199500000000285,-0.4089143077797841,-0.21927381321823575,-0.22089698402870686,-0.22089698402870686,-0.22089698402870686,0.0,0.0
selected_1m,fit28,US.IWM,LONG,28,5,17.857142857142858,2,0.0,,-0.08631895285264332,,0.0,-0.08631895285264332,-1.5414098723686307,-0.19135243700000046,-0.4308728220364433,-0.1298699261934373,-0.14067717134444352,-0.14067717134444352,-0.09453776668200713,0.0,0.0
selected_1m,fit28,US.IWM,SHORT,28,5,17.857142857142858,2,0.0,,-0.07200088712579364,,0.0,-0.07200088712579364,-1.285730127246315,-0.15087050980001776,-0.35955447076319036,-0.14999991718006833,-0.1703433197827256,-0.1703433197827256,-0.08543188338069338,20.0,0.0
selected_1m,fit28,US.META,LONG,28,1,3.5714285714285716,2,0.0,,-0.07479239580151645,,0.0,-0.07479239580151645,-0.26711569929113016,-0.33598859999995057,-0.07479239580151509,-0.07479239580151645,-0.07479239580151645,-0.07479239580151645,,0.0,0.0
selected_1m,fit28,US.META,SHORT,28,3,10.714285714285714,2,0.0,,-0.11910954053841488,,0.0,-0.11910954053841488,-1.2761736486258737,-0.5915850423333117,-0.3569714386050582,-0.2002766369918191,-0.21455124763164693,-0.21455124763164693,-0.1431781944325079,0.0,0.0
selected_1m,fit28,US.MSFT,LONG,28,1,3.5714285714285716,2,0.0,,-0.24093344368981323,,0.0,-0.24093344368981323,-0.8604765846064758,-0.8783465129999968,-0.24093344368981695,-0.24093344368981323,-0.24093344368981323,-0.24093344368981323,,0.0,0.0
selected_1m,fit28,US.MSFT,SHORT,28,2,7.142857142857143,2,0.0,,-0.052046488403128685,,0.0,-0.052046488403128685,-0.3717606314509192,-0.13020488949999276,-0.10407058710245609,-0.07155525377244679,-0.07372289436903769,-0.07372289436903769,-0.07372289436903769,0.0,0.0
selected_1m,fit28,US.MU,LONG,28,4,14.285714285714286,2,25.0,7.929987431279593,-0.17372234186817526,45.647481757395724,15.21582725246524,1.852205101418767,26.46007287741096,17.166110167499994,-0.48948161766856346,-0.26703867567085593,-0.27646835854301416,-0.27646835854301416,-0.17372234186817526,25.0,0.0
selected_1m,fit28,US.MU,SHORT,28,1,3.5714285714285716,2,100.0,5.78994708891469,,,,5.78994708891469,20.678382460409605,54.256556337999996,0.0,5.78994708891469,5.78994708891469,5.78994708891469,,100.0,0.0
selected_1m,fit28,US.NVDA,LONG,28,2,7.142857142857143,2,0.0,,-0.11411882060640795,,0.0,-0.11411882060640795,-0.8151344329029139,-0.1996630784999951,-0.22810756681180822,-0.1176809469613297,-0.11807673877854323,-0.11807673877854323,-0.11807673877854323,0.0,0.0
selected_1m,fit28,US.NVDA,SHORT,28,5,17.857142857142858,2,0.0,,-0.11587523384924833,,0.0,-0.11587523384924833,-2.0692006044508626,-0.197763784,-0.5780975007548483,-0.16849003379575728,-0.16985256435953056,-0.16985256435953056,-0.13623636522637958,0.0,0.0
selected_1m,fit28,US.QQQ,LONG,28,4,14.285714285714286,2,0.0,,-0.07339149312552132,,0.0,-0.07339149312552132,-1.0484499017931617,-0.3883230002500113,-0.29325669140819466,-0.09284723941209967,-0.09355868837372006,-0.09355868837372006,-0.08837405532310681,0.0,0.0
selected_1m,fit28,US.QQQ,SHORT,28,3,10.714285714285714,2,33.333333333333336,1.0952516741828904,-0.05905930703733865,18.544946243450624,9.272473121725312,0.32571102003607105,3.489760928957904,2.560484494333347,-0.11808838748610384,-0.07631675324048612,-0.080631114791273,-0.080631114791273,-0.05905930703733865,33.33333333333333,0.0
selected_1m,fit28,US.SPY,LONG,28,6,21.428571428571427,2,0.0,,-0.03913708817202555,,0.0,-0.03913708817202555,-0.8386518894005474,-0.14130272566666235,-0.23460015870772066,-0.06231272323902789,-0.06797938246399296,-0.06797938246399296,-0.04217264613031693,0.0,0.0
selected_1m,fit28,US.SPY,SHORT,28,4,14.285714285714286,2,25.0,1.6132680026137534,-0.05272898048613396,30.595471176196767,10.19849039206559,0.3637702652888378,5.196718075554826,2.8700827897500005,-0.0918847674172718,-0.06434083036272896,-0.06628160375025438,-0.06628160375025438,-0.05272898048613396,25.0,0.0
selected_1m,fit28,US.TSLA,LONG,28,3,10.714285714285714,2,0.0,,-0.026308573352789258,,0.0,-0.026308573352789258,-0.2818775716370278,-0.02666666666666136,-0.07890546398184872,-0.033111194919874506,-0.03402327864254716,-0.03402327864254716,-0.029462860029183892,0.0,0.0
selected_1m,fit28,US.TSLA,SHORT,28,4,14.285714285714286,2,0.0,,-0.20980083310928452,,0.0,-0.20980083310928452,-2.997154758704064,-0.744924999999995,-0.8370278035425116,-0.41611989870047095,-0.45600526302210925,-0.45600526302210925,-0.2658358336273841,0.0,0.0
selected_1m,fit28,ALL,LONG,280,33,11.785714285714286,2,3.0303030303030303,7.929987431279593,-0.08079899139741431,98.1446339135041,3.067019809797003,0.16195211232007078,1.9087213237722624,1.8860274043636387,-0.48948161766856346,-0.22453566111310092,-0.2587009011164137,-0.27646835854301416,-0.08079899139741431,3.0303030303030303,0.0
selected_1m,fit28,ALL,SHORT,280,29,10.357142857142858,2,10.344827586206897,2.8328222552371107,-0.11252467858134313,25.175119724419275,2.9048215066637626,0.19216638353780732,1.9902946866415756,2.235186365689655,-0.8370278035425116,-0.21835868946988288,-0.33845112352540807,-0.45600526302210925,-0.007754355939938456,13.793103448275861,0.0
selected_1m,fit28,EXCLUDE_US.AAPL,BOTH_COUNTERFACTUAL,504,57,11.30952380952381,2,7.017543859649122,4.107113549247732,-0.09862500308739819,41.64373557086883,3.142923439310855,0.1965145444448916,2.2224859193172266,2.239189709912283,-0.8370278035425116,-0.2249042759609281,-0.32446902175164555,-0.45600526302210925,0.0584168143228434,8.771929824561402,0.0
selected_1m,fit28,EXCLUDE_US.AMD,BOTH_COUNTERFACTUAL,504,58,11.507936507936508,2,6.896551724137931,4.107113549247732,-0.09082286643762034,45.221139899483475,3.349714066628405,0.19868998981654187,2.2865117875713157,2.236184637051725,-0.8370278035425116,-0.21850857704037188,-0.32446902175164555,-0.45600526302210925,0.06305319259789184,8.620689655172415,0.0
selected_1m,fit28,EXCLUDE_US.IWM,BOTH_COUNTERFACTUAL,504,52,10.317460317460318,2,7.6923076923076925,4.107113549247732,-0.0983252118320832,41.77070633991346,3.4808921949927885,0.22517007748174872,2.3231833390974073,2.476354301596157,-0.8370278035425116,-0.22991339087620472,-0.32446902175164555,-0.45600526302210925,0.07409522740728117,7.6923076923076925,0.0
selected_1m,fit28,EXCLUDE_US.META,BOTH_COUNTERFACTUAL,504,58,11.507936507936508,2,6.896551724137931,4.107113549247732,-0.0940571916743596,43.666129895385225,3.234528140398906,0.19567872149268117,2.251858302891966,2.2270698737241372,-0.8370278035425116,-0.22390245297787278,-0.32446902175164555,-0.45600526302210925,0.0599890950051915,8.620689655172415,0.0
selected_1m,fit28,EXCLUDE_US.MSFT,BOTH_COUNTERFACTUAL,504,59,11.706349206349206,2,6.779661016949152,4.107113549247732,-0.0939305990424747,43.72497983740662,3.1799985336295724,0.19088595338397998,2.2345776288997654,2.1728485634067805,-0.8370278035425116,-0.2151858212713529,-0.31779020186461016,-0.45600526302210925,0.05745316928233146,8.47457627118644,0.0
