period,cost_bps,configurations,min_payoff,median_payoff,max_payoff
all83,2,22,7.082638118648058,15.102160059789064,27.904855950976334
all83,5,22,5.527433842950164,11.715251730586562,20.25408073904566
development56,2,22,7.617051861983545,16.5621485647454,29.927027097436813
development56,5,22,6.103372270061083,13.177705972176515,22.17322355057372
stress27,2,22,2.7849394066967816,11.713445634932683,20.950320597403262
stress27,5,22,1.910258810117165,8.44092796577477,14.53212626789918
