period,trades,wins,losses,wins5,losses5,trade_dates,symbols,win_rate_pct,payoff_ratio,payoff5,robust_payoff,avg_win_pct,avg_loss_pct,profit_factor,mean_trade_pct,mean_job_bps,worst_stream_mdd_pct,cvar05_pct,sample_ok,score
fit28,36,4,32,4,32,16,9,11.11111111111111,61.126753994251004,44.37611511763365,44.37611511763365,4.967621795994203,-0.0812675542441107,7.6408442492813755,0.4797201513379243,3.0839152586009413,-0.45841177368934893,-0.2330064256493649,True,4.251919055745853
validation28,58,5,53,5,53,25,10,8.620689655172415,9.033507250350807,6.620160190417924,6.620160190417924,0.8557008663008782,-0.09472520944372385,0.8522176651274347,-0.012791927051947804,-0.13248781589517375,-1.0517146136177713,-0.31748748331470333,True,1.9975821198824482
