variation,id,period,jobs,trades,trade_rate_pct,cost_bps,win_rate_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,mean_trade_pct,mean_job_bps,mean_gross_points,worst_stream_mdd_pct,p05_pct,cvar05_pct,worst_trade_pct,trim_top1_mean_pct,held_until_flatten_pct,unclosed_after_day_pct
selected,f634ff0af0eb,development56,1120,165,14.732142857142858,2,10.303030303030303,2.0666635030730522,-0.12275134864170154,16.836177573131426,1.9338852617786095,0.10282472698951552,1.5148285672562556,1.106464821521211,-1.607457260523748,-0.3578778029661919,-0.44989193992784127,-0.6087414519270011,0.019915002656906617,10.303030303030303,0.0
selected,f634ff0af0eb,development56,1120,165,14.732142857142858,5,10.303030303030303,2.036663503073053,-0.15275134864170153,13.333194902588492,1.5315156307027322,0.07282472698951552,1.0728642815419696,1.106464821521211,-1.8143739182192142,-0.3878778029661919,-0.4798919399278413,-0.6387414519270012,-0.010084997343093384,10.303030303030303,0.0
selected,f634ff0af0eb,stress27,540,89,16.48148148148148,2,10.112359550561798,1.0268772759338798,-0.08630640810664308,11.898042085878904,1.3385297346613767,0.026262728481724378,0.4328486731247166,-0.025923931617978853,-0.9116552488847907,-0.1799157728403339,-0.2303568686430293,-0.2856913892325098,-0.015986324256220614,10.112359550561797,0.0
selected,f634ff0af0eb,stress27,540,89,16.48148148148148,5,10.112359550561798,0.9968772759338795,-0.1163064081066431,8.571129417218591,0.9642520594370917,-0.003737271518275632,-0.06159577131972801,-0.025923931617978853,-1.0901526257262706,-0.2099157728403339,-0.2603568686430293,-0.3156913892325098,-0.045986324256220616,10.112359550561797,0.0
selected,f634ff0af0eb,all83,1660,254,15.301204819277109,2,10.236220472440944,1.706737501371031,-0.1099636502083477,15.520924397628509,1.7699299751681634,0.07599788499269108,1.162859204105032,0.709682935578739,-2.4226534026315694,-0.29908251259338203,-0.41139773838384613,-0.6087414519270011,0.0003799745327201896,10.236220472440944,0.0
selected,f634ff0af0eb,all83,1660,254,15.301204819277109,5,10.236220472440944,1.676737501371031,-0.13996365020834772,11.979806891825598,1.3661183297695858,0.04599788499269105,0.7038230595267185,0.709682935578739,-2.7740693793072646,-0.329082512593382,-0.44139773838384616,-0.6387414519270012,-0.029620025467279813,10.236220472440944,0.0
entry_cap_daily_atr_x0.8,536f0789fb0d,development56,1120,94,8.392857142857142,2,9.574468085106384,2.683221279497912,-0.08965879807445773,29.927027097436813,3.1687440456109566,0.1758297199909819,1.4757137213528837,1.4560309514574399,-1.0824824454200632,-0.2254329135427286,-0.28991315505490034,-0.4078838125129604,0.09245168008465274,11.702127659574469,0.0
entry_cap_daily_atr_x0.8,536f0789fb0d,development56,1120,94,8.392857142857142,5,9.574468085106384,2.6532212794979113,-0.11965879807445771,22.17322355057372,2.347753081825453,0.1458297199909819,1.2239280070671696,1.4560309514574399,-1.231092781820864,-0.25543291354272857,-0.3199131550549003,-0.4378838125129604,0.06245168008465274,11.702127659574469,0.0
entry_cap_daily_atr_x0.8,536f0789fb0d,stress27,540,54,10.0,2,7.407407407407407,1.5210026753598438,-0.0726004486799294,20.950320597403266,1.6760256477922613,0.045444227174868616,0.4544422717486862,0.02788659737036354,-0.6467133868835795,-0.17273697439993516,-0.2195800080276076,-0.2606280220717912,-0.024343228339207146,5.555555555555555,0.0
entry_cap_daily_atr_x0.8,536f0789fb0d,stress27,540,54,10.0,5,7.407407407407407,1.4910026753598438,-0.1026004486799294,14.53212626789918,1.1625701014319343,0.015444227174868616,0.15444227174868613,0.02788659737036354,-0.766077082781369,-0.20273697439993515,-0.2495800080276076,-0.2906280220717912,-0.054343228339207135,5.555555555555555,0.0
