selected,baseline,period,payoff_delta_ci95_low,payoff_delta_ci95_high,selection_adjusted
selected_1m,previous_payoff_4_45,all83,3.6022629615123307,21.50087353182367,False
selected_1m,ablation_no_confirmations,all83,0.5685691000147075,16.917058297695718,False
selected_1m,ablation_previous_exit,all83,7.013784305821984,21.97155444930341,False
selected_1m,ablation_no_fast_failure,all83,3.6228234255616973,12.1705238192872,False
selected_1m,ablation_no_soft_loss,all83,2.3084293801048488,9.225585791561905,False
selected_1m,previous_payoff_4_45,development56,2.3500366307237788,25.336241973294634,False
selected_1m,ablation_no_confirmations,development56,-0.6655069833830738,20.746867989763253,False
selected_1m,ablation_previous_exit,development56,6.552427583809545,26.516237623432687,False
selected_1m,ablation_no_fast_failure,development56,4.143426976877722,16.401109209973775,False
selected_1m,ablation_no_soft_loss,development56,1.973724968816986,12.209154548978866,False
selected_1m,previous_payoff_4_45,stress27,0.477661680888315,27.12819734135367,False
selected_1m,ablation_no_confirmations,stress27,-2.3519256633563486,20.945637199550347,False
selected_1m,ablation_previous_exit,stress27,3.0748462201516613,23.67633037999115,False
selected_1m,ablation_no_fast_failure,stress27,1.0225331590049798,9.211023422470763,False
selected_1m,ablation_no_soft_loss,stress27,1.42473124609441,9.293773486487765,False
