name,period,payoff_ci95_low,payoff_ci95_high,valid_draws,draws,selection_adjusted
selected_1m,all83,8.916567931752194,25.32384237679823,5000,5000,False
previous_payoff_4_45,all83,2.7109992156048848,6.778383989048073,5000,5000,False
ablation_no_confirmations,all83,6.273907097733918,11.331401633678725,5000,5000,False
ablation_previous_exit,all83,1.6212815730976797,3.9218955934571933,5000,5000,False
ablation_no_fast_failure,all83,4.720777557971464,14.919253187533304,5000,5000,False
ablation_no_soft_loss,all83,6.435647298972432,16.79187874795292,5000,5000,False
selected_1m,development56,8.501020628958829,30.232148432251858,5000,5000,False
previous_payoff_4_45,development56,2.940889964291156,8.457694719047055,5000,5000,False
ablation_no_confirmations,development56,5.946793127738905,13.33534430476922,5000,5000,False
ablation_previous_exit,development56,1.4274670833642105,4.118527203210568,5000,5000,False
ablation_no_fast_failure,development56,3.8961769449499237,15.182499520976217,5000,5000,False
ablation_no_soft_loss,development56,6.134683542299807,18.987305028718783,5000,5000,False
selected_1m,stress27,4.455472445839847,28.447563825454385,4999,5000,False
previous_payoff_4_45,stress27,0.7323872844541439,6.390921858668817,4990,5000,False
ablation_no_confirmations,stress27,4.782532640633852,9.636053830052441,5000,5000,False
ablation_previous_exit,stress27,0.7977712468415415,4.841685569508232,5000,5000,False
ablation_no_fast_failure,stress27,3.126031901181491,19.988597406592397,4999,5000,False
ablation_no_soft_loss,stress27,2.981679010742152,19.164846909817776,4999,5000,False
