selected,baseline,period,delta_mean_bps_per_job,ci95_low,ci95_high,selection_adjusted
selected_1m,previous_payoff_4_45,all83,0.32532854164304703,-1.4233866306535456,2.137876108723429,False
selected_1m,ablation_no_confirmations,all83,1.549644911875695,-0.16591879332096693,3.3778489714964324,False
selected_1m,ablation_previous_exit,all83,1.9351106117540964,0.6897291767245162,3.2813241999621567,False
selected_1m,ablation_no_fast_failure,all83,0.55822285124577,0.05606791035490809,1.0198785837132924,False
selected_1m,ablation_no_soft_loss,all83,0.12618388545676615,-0.506473661553358,0.6470210968552593,False
selected_1m,previous_payoff_4_45,development56,0.11593872545903697,-2.281497452411097,2.5620347830051426,False
selected_1m,ablation_no_confirmations,development56,1.9124551283450149,-0.4234079466982802,4.394256379525736,False
selected_1m,ablation_previous_exit,development56,1.8188129695167015,0.013566870797481092,3.690021149704526,False
selected_1m,ablation_no_fast_failure,development56,0.6068119673552645,-0.07755836387877962,1.2726105469058635,False
selected_1m,ablation_no_soft_loss,development56,-0.12620087365634955,-0.9784565276454222,0.6254524651599875,False
selected_1m,previous_payoff_4_45,stress27,0.759618530765438,-0.7927208279087006,2.8171779456694765,False
selected_1m,ablation_no_confirmations,stress27,0.7971496480874758,-1.858772764437284,2.964977963391336,False
selected_1m,ablation_previous_exit,stress27,2.17632053639462,0.559651220793662,3.875476877185532,False
selected_1m,ablation_no_fast_failure,stress27,0.45744542524089193,0.1737792768887293,0.8147903215301083,False
selected_1m,ablation_no_soft_loss,stress27,0.6496485710247099,0.31839610656355766,1.0139765787138815,False
