period,additional_latency_minutes,jobs,trades,trade_rate_pct,cost_bps,win_rate_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,mean_trade_pct,mean_job_bps,mean_gross_points,worst_stream_mdd_pct,p05_pct,cvar05_pct,worst_trade_pct,trim_top1_mean_pct,held_until_flatten_pct,unclosed_after_day_pct,trading_dates,symbols_traded,max_win_pct,p90_win_pct,top1_winners_share_pct,top5_winners_share_pct,mean_without_best3_pct,mean_hold_minutes,mtm_mdd_pct_at2bps
fit28,0,560,23,4.107142857142857,0,8.695652173913043,6.072172559197788,-0.10740964543962209,56.53284241228711,5.38408022974163,0.4299453288766744,1.7658468864577699,3.4753125522608594,-0.50914397174745,-0.2617966626874349,-0.37687487685588705,-0.48915558807759096,0.09674420422083907,8.695652173913043,0.0,14.0,9.0,7.740370071305053,7.402730568883601,63.947037163882804,100.0,-0.13253186554377205,41.73913043478261,-2.2323579752588363
fit28,0,560,23,4.107142857142857,2,8.695652173913043,6.052172559197788,-0.12740964543962205,47.50168276754088,4.5239697873848455,0.40994532887667445,1.6837040293149128,3.4753125522608594,-0.5490381233021258,-0.2817966626874349,-0.39687487685588707,-0.5091555880775909,0.07674420422083908,8.695652173913043,0.0,14.0,9.0,7.740370071305053,7.402730568883601,63.947037163882804,100.0,-0.13253186554377205,41.73913043478261,-2.2323579752588363
fit28,0,560,23,4.107142857142857,5,8.695652173913043,6.022172559197788,-0.1574096454396221,38.2579640680769,3.6436156255311336,0.3799453288766744,1.5604897436006273,3.4753125522608594,-0.6173278306811136,-0.3117966626874349,-0.4268748768558871,-0.539155588077591,0.04674420422083906,8.695652173913043,0.0,14.0,9.0,7.740370071305053,7.402730568883601,63.947037163882804,100.0,-0.13253186554377205,41.73913043478261,-2.2323579752588363
fit28,0,560,23,4.107142857142857,10,8.695652173913043,5.972172559197788,-0.20740964543962204,28.794092707401674,2.742294543562064,0.3299453288766745,1.3551326007434845,3.4753125522608594,-0.8658434784751701,-0.36179666268743493,-0.4768748768558871,-0.5891555880775909,-0.0032557957791609572,8.695652173913043,0.0,14.0,9.0,7.740370071305053,7.402730568883601,63.947037163882804,100.0,-0.13253186554377205,41.73913043478261,-2.2323579752588363
fit28,0,560,23,4.107142857142857,20,8.695652173913043,5.872172559197788,-0.30740964543962207,19.102109014179042,1.819248477540861,0.22994532887667443,0.9444183150291987,3.4753125522608594,-1.3613833268961484,-0.46179666268743486,-0.5768748768558871,-0.6891555880775909,-0.10325579577916101,8.695652173913043,0.0,14.0,9.0,7.740370071305053,7.402730568883601,63.947037163882804,100.0,-0.13253186554377205,41.73913043478261,-2.2323579752588363
validation28,0,560,25,4.464285714285714,0,8.0,1.055338946100496,-0.13838813081188045,7.625935402907374,0.6631248176441196,-0.04288996465889034,-0.1914730565129033,-0.060810014200002344,-0.7144803840352987,-0.37253894460093123,-0.5245795511199097,-0.6751418516124413,-0.11573625351437516,8.0,0.0,14.0,8.0,1.6854209678727454,1.5554045635182956,81.39464733847407,100.0,-0.16436994698518662,28.4,-2.2903341794963783
validation28,0,560,25,4.464285714285714,2,8.0,1.0353389461004958,-0.1583881308118805,6.536720528195263,0.5684104807126317,-0.06288996465889035,-0.2807587707986176,-0.060810014200002344,-0.7543332319549845,-0.39253894460093125,-0.5445795511199096,-0.6951418516124414,-0.13573625351437515,8.0,0.0,14.0,8.0,1.6854209678727454,1.5554045635182956,81.39464733847407,100.0,-0.16436994698518662,28.4,-2.2903341794963783
validation28,0,560,25,4.464285714285714,5,8.0,1.005338946100496,-0.1883881308118805,5.336530182490113,0.46404610282522724,-0.09288996465889036,-0.41468734222718917,-0.060810014200002344,-0.81409750383451,-0.4225389446009312,-0.5745795511199097,-0.7251418516124413,-0.16573625351437515,8.0,0.0,14.0,8.0,1.6854209678727454,1.5554045635182956,81.39464733847407,100.0,-0.16436994698518662,28.4,-2.2903341794963783
validation28,0,560,25,4.464285714285714,10,8.0,0.9553389461004959,-0.23838813081188043,4.0074937575410745,0.3484777180470499,-0.14288996465889037,-0.6379016279414748,-0.060810014200002344,-0.9136646236337254,-0.47253894460093127,-0.6245795511199097,-0.7751418516124413,-0.21573625351437517,8.0,0.0,14.0,8.0,1.6854209678727454,1.5554045635182956,81.39464733847407,100.0,-0.16436994698518662,28.4,-2.2903341794963783
validation28,0,560,25,4.464285714285714,20,8.0,0.8553389461004958,-0.33838813081188046,2.527686015606744,0.21979878396580382,-0.24288996465889034,-1.0843301993700463,-0.060810014200002344,-1.3773454723071343,-0.5725389446009312,-0.7245795511199097,-0.8751418516124414,-0.3157362535143751,8.0,0.0,14.0,8.0,1.6854209678727454,1.5554045635182956,81.39464733847407,100.0,-0.16436994698518662,28.4,-2.2903341794963783
