name,period,jobs,trades,trade_rate_pct,cost_bps,win_rate_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,mean_trade_pct,mean_job_bps,mean_gross_points,worst_stream_mdd_pct,p05_pct,cvar05_pct,worst_trade_pct,trim_top1_mean_pct,held_until_flatten_pct,unclosed_after_day_pct,trading_dates,symbols_traded,max_win_pct,p90_win_pct,top1_winners_share_pct,top5_winners_share_pct,mean_without_best3_pct,mean_hold_minutes,mtm_mdd_pct
previous_frozen_5m,fit28,560,26,4.642857142857143,2,15.384615384615385,3.71719553962112,-0.10915354047680897,34.054740903350584,6.19177107333647,0.47951554876902613,2.2263221907133355,3.6548531209615334,-0.5053340732185108,-0.27232184329472064,-0.3006212835122606,-0.31664840139033795,0.18908136786758523,7.6923076923076925,0.0,14,10,7.740370071305053,6.738686449504408,52.05786182621698,100.0,-0.08600775410113619,48.26923076923077,-2.2323579752588363
previous_frozen_5m,validation28,560,37,6.607142857142857,2,10.81081081081081,1.0428766550487387,-0.16502252837000358,6.319601725592662,0.7660123303748682,-0.03443883286527468,-0.2275422885741363,-0.11042716597297551,-1.2070058742988388,-0.3881040265215908,-0.8005115624631083,-1.2070058742988383,-0.08409752889465828,8.108108108108109,0.0,18,9,1.753274224192534,1.7329182472965974,42.029760080078574,100.0,-0.14994673330613795,49.45945945945946,-2.5484628877593396
previous_frozen_5m,development56,1120,63,5.625,2,12.698412698412698,2.3800360973349295,-0.14267493321272579,16.68152943016513,2.426404280751292,0.17766932463459556,0.9993899510696,1.4434980318095203,-1.2070058742988388,-0.36388605311117944,-0.5891958816253806,-1.2070058742988383,0.055690280333459144,7.936507936507936,0.0,32,10,7.740370071305053,5.403108287103545,40.65258758035442,93.9286058749918,-0.0542069193390216,48.96825396825397,-2.5484628877593396
previous_frozen_5m,stress27,540,40,7.407407407407407,2,10.0,0.260886040833921,-0.13500514623492213,1.9324155271825996,0.21471283635362218,-0.09541602752803782,-0.7067853890965765,-0.3798003596749993,-1.2112800830329284,-0.3839709873237117,-0.5746020112448634,-0.6911950496845553,-0.11271767372967338,5.0,0.0,17,10,0.5793481743357498,0.49649165749508106,55.51736042333524,100.0,-0.12985090724223644,35.5,-1.2140167585818484
previous_frozen_5m,all83,1660,103,6.204819277108434,2,11.650485436893204,1.6736527451679268,-0.13964073177095726,11.985419468533724,1.58049487497148,0.07161676068794177,0.4443690572806026,0.7354209865728136,-1.4275734373044524,-0.3789802942291823,-0.5861545198594713,-1.2070058742988383,-0.04718087510643511,6.796116504854369,0.0,49,10,7.740370071305053,4.191660986343897,38.54030300716303,89.04813068312481,-0.07069056261462808,43.737864077669904,-2.5601547023144433
transfer_27_90_to_5m,fit28,560,15,2.6785714285714284,2,6.666666666666667,4.3639750470905225,-0.1650865461588331,26.434468154006048,1.8881762967147178,0.136850893391124,0.36656489301193923,0.7992273302000115,-0.6534290156049338,-0.395244620625408,-0.6534290156049323,-0.6534290156049323,-0.1650865461588331,6.666666666666667,0.0,10,8,4.3639750470905225,4.3639750470905225,100.0,100.0,-0.18758878252875538,60.333333333333336,-2.2323579752588363
transfer_27_90_to_5m,validation28,560,30,5.357142857142857,2,10.0,0.6307338775368431,-0.20512388298243742,3.074892442392221,0.34165471582135787,-0.12153810693050936,-0.651097001413443,-0.43586702970000507,-1.110212882138728,-0.49361701916141976,-0.6348832582458944,-0.6951418516124414,-0.1491932416272885,10.0,0.0,16,8,0.6804607992760862,0.668441575872812,35.96132608432988,100.0,-0.20512388298243736,56.833333333333336,-5.044073326107757
transfer_27_90_to_5m,development56,1120,45,4.017857142857143,2,8.88888888888889,1.5640441699252632,-0.19145259723779204,8.169354673118672,0.7970102120115777,-0.03540844015663156,-0.1422660542007518,-0.02416890973333289,-1.295165774854512,-0.5386212667824907,-0.6410651773655737,-0.6951418516124414,-0.1353944285031578,8.88888888888889,0.0,26,9,4.3639750470905225,3.2589207727461926,69.75466439830554,100.0,-0.1728138175160654,58.0,-5.0440733261077675
transfer_27_90_to_5m,stress27,540,14,2.5925925925925926,2,7.142857142857143,0.4183230733265799,-0.23635796775777815,1.7698708331901098,0.13614391024539307,-0.18959503625175256,-0.49154268657861777,-0.7764298139285606,-1.261601987097638,-0.6146206491863643,-0.6911950496845553,-0.6911950496845553,-0.23635796775777815,21.428571428571427,0.0,10,7,0.4183230733265799,0.4183230733265799,100.0,100.0,-0.26691501357843145,73.21428571428571,-1.6288033413767722
transfer_27_90_to_5m,all83,1660,59,3.5542168674698793,2,8.474576271186441,1.3348999506055268,-0.20226314940001092,6.599817883610265,0.6110942484824319,-0.07199509007750773,-0.25588616352849136,-0.20267149716948862,-1.2997093539469318,-0.5825050999519059,-0.679921972300643,-0.6951418516124414,-0.14847733382178413,11.864406779661017,0.0,36,10,4.3639750470905225,2.8905693479647483,65.38280333460155,100.0,-0.17700912219998718,61.610169491525426,-5.0440733261077675
followup_5m,fit28,560,23,4.107142857142857,2,8.695652173913043,6.070897368303976,-0.10567446355383903,57.44904837118928,5.471337940113264,0.4314187392164057,1.771898393210238,3.6075843677825996,-0.46797937989325744,-0.25450771017766294,-0.27060665090044145,-0.28459416563418327,0.09919367866692184,4.3478260869565215,0.0,14,9,7.740370071305053,7.406475530704837,63.749801732091186,100.0,-0.10970992456369986,39.130434782608695,-2.2323579752588363
followup_5m,validation28,560,25,4.464285714285714,2,8.0,1.0353389461004958,-0.1583881308118805,6.536720528195263,0.5684104807126317,-0.06288996465889035,-0.2807587707986176,-0.060810014200002344,-0.7543332319549845,-0.39253894460093125,-0.5445795511199096,-0.6951418516124414,-0.13573625351437515,8.0,0.0,14,8,1.6854209678727454,1.5554045635182956,81.39464733847407,100.0,-0.16436994698518662,28.4,-2.2903341794963783
followup_5m,development56,1120,48,4.285714285714286,2,8.333333333333334,3.553118157202236,-0.13322933507508794,26.669187797114663,2.4244716179195147,0.17396628928135568,0.7455698112058101,1.6969622938333278,-0.7543332319549956,-0.3805038566999003,-0.4919282742449878,-0.6951418516124414,0.01297897477021323,6.25,0.0,28,9,7.740370071305053,6.738686449504408,54.4618116316733,100.0,-0.1217074181994583,33.541666666666664,-2.2903341794963783
followup_5m,stress27,540,27,5.0,2,11.11111111111111,0.39116639886143517,-0.1173408454256154,3.333591107534699,0.41669888844183733,-0.06084004050483202,-0.3042002025241601,-0.09788200559258982,-0.9495754834109027,-0.233494244541982,-0.4756869131173739,-0.6911950496845553,-0.09451226187897951,7.4074074074074066,0.0,14,10,0.8146377152230031,0.7123421291517732,69.4195375330603,100.0,-0.1173408454256154,37.22222222222222,-0.9958312014397119
