name,period,jobs,trades,trade_rate_pct,cost_bps,win_rate_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,mean_trade_pct,mean_job_bps,mean_gross_points,worst_stream_mdd_pct,p05_pct,cvar05_pct,worst_trade_pct,trim_top1_mean_pct,held_until_flatten_pct,unclosed_after_day_pct
previous_frozen_5m,fit28,560,26,4.642857142857143,0,15.384615384615385,3.73719553962112,-0.08915354047680894,41.918644168632405,7.621571667024074,0.4995155487690263,2.3191793335704793,3.6548531209615334,-0.3857797979162303,-0.25232184329472057,-0.2806212835122606,-0.29664840139033793,0.2090813678675852,7.6923076923076925,0.0
previous_frozen_5m,fit28,560,26,4.642857142857143,2,15.384615384615385,3.71719553962112,-0.10915354047680897,34.054740903350584,6.19177107333647,0.47951554876902613,2.2263221907133355,3.6548531209615334,-0.5053340732185108,-0.27232184329472064,-0.3006212835122606,-0.31664840139033795,0.18908136786758523,7.6923076923076925,0.0
previous_frozen_5m,fit28,560,26,4.642857142857143,5,15.384615384615385,3.6871955396211202,-0.13915354047680897,26.497317473827554,4.817694086150465,0.4495155487690263,2.087036476427622,3.6548531209615334,-0.6844412746944251,-0.3023218432947206,-0.3306212835122606,-0.3466484013903379,0.1590813678675852,7.6923076923076925,0.0
previous_frozen_5m,fit28,560,26,4.642857142857143,10,15.384615384615385,3.63719553962112,-0.18915354047680896,19.228799685444194,3.49614539735349,0.39951554876902634,1.8548936192847651,3.6548531209615334,-0.9823561773183664,-0.35232184329472055,-0.38062128351226066,-0.39664840139033797,0.1090813678675852,7.6923076923076925,0.0
previous_frozen_5m,fit28,560,26,4.642857142857143,20,15.384615384615385,3.53719553962112,-0.28915354047680897,12.232931797370867,2.2241694177037936,0.29951554876902636,1.390607904999051,3.6548531209615334,-1.5759522328055997,-0.4523218432947206,-0.4806212835122605,-0.49664840139033795,0.009081367867585177,7.6923076923076925,0.0
previous_frozen_5m,validation28,560,37,6.607142857142857,0,10.81081081081081,1.0628766550487385,-0.14502252837000357,7.329045128333204,0.8883691064646309,-0.014438832865274693,-0.09539943143127921,-0.11042716597297551,-1.187005874298841,-0.3681040265215908,-0.7805115624631082,-1.1870058742988383,-0.06409752889465825,8.108108108108109,0.0
previous_frozen_5m,validation28,560,37,6.607142857142857,2,10.81081081081081,1.0428766550487387,-0.16502252837000358,6.319601725592662,0.7660123303748682,-0.03443883286527468,-0.2275422885741363,-0.11042716597297551,-1.2070058742988388,-0.3881040265215908,-0.8005115624631083,-1.2070058742988383,-0.08409752889465828,8.108108108108109,0.0
previous_frozen_5m,validation28,560,37,6.607142857142857,5,10.81081081081081,1.0128766550487387,-0.1950225283700036,5.193639234986604,0.6295320284832248,-0.0644388328652747,-0.4257565742884222,-0.11042716597297551,-1.2370058742988355,-0.41810402652159084,-0.8305115624631081,-1.2370058742988383,-0.11409752889465824,8.108108108108109,0.0
previous_frozen_5m,validation28,560,37,6.607142857142857,10,10.81081081081081,0.9628766550487386,-0.2450225283700036,3.929747445894926,0.4763330237448395,-0.11443883286527473,-0.7561137171455652,-0.11042716597297551,-1.287005874298841,-0.46810402652159083,-0.8805115624631081,-1.2870058742988384,-0.16409752889465828,8.108108108108109,0.0
previous_frozen_5m,validation28,560,37,6.607142857142857,20,10.81081081081081,0.8628766550487388,-0.3450225283700036,2.5009284440794146,0.3031428417065957,-0.2144388328652747,-1.4168280028598506,-0.11042716597297551,-1.719448204129248,-0.5681040265215909,-0.9805115624631082,-1.3870058742988385,-0.26409752889465826,8.108108108108109,0.0
previous_frozen_5m,development56,1120,63,5.625,0,12.698412698412698,2.4000360973349295,-0.12267493321272574,19.56419322579228,2.8457008328425135,0.19766932463459547,1.1118899510695996,1.4434980318095203,-1.187005874298841,-0.3438860531111794,-0.5691958816253806,-1.1870058742988383,0.07569028033345913,7.936507936507936,0.0
previous_frozen_5m,development56,1120,63,5.625,2,12.698412698412698,2.3800360973349295,-0.14267493321272579,16.68152943016513,2.426404280751292,0.17766932463459556,0.9993899510696,1.4434980318095203,-1.2070058742988388,-0.36388605311117944,-0.5891958816253806,-1.2070058742988383,0.055690280333459144,7.936507936507936,0.0
previous_frozen_5m,development56,1120,63,5.625,5,12.698412698412698,2.3500360973349297,-0.17267493321272573,13.609596098350988,1.979577614305598,0.1476693246345955,0.8306399510695996,1.4434980318095203,-1.2370058742988355,-0.3938860531111794,-0.6191958816253805,-1.2370058742988383,0.025690280333459155,7.936507936507936,0.0
previous_frozen_5m,development56,1120,63,5.625,10,12.698412698412698,2.3000360973349294,-0.22267493321272577,10.329119960429761,1.5024174487897832,0.09766932463459554,0.5493899510695999,1.4434980318095203,-1.5522482095147283,-0.44388605311117946,-0.6691958816253806,-1.2870058742988384,-0.024309719666540868,7.936507936507936,0.0
previous_frozen_5m,development56,1120,63,5.625,20,12.698412698412698,2.2000360973349293,-0.32267493321272567,6.81811901355393,0.9917264019714807,-0.0023306753654044597,-0.013110048930400084,1.4434980318095203,-2.4362714985275757,-0.5438860531111793,-0.7691958816253806,-1.3870058742988385,-0.12430971966654089,7.936507936507936,0.0
previous_frozen_5m,stress27,540,40,7.407407407407407,0,10.0,0.28088604083392094,-0.1217701548369764,2.3066903479753798,0.27137533505592704,-0.07541602752803783,-0.5586372409484284,-0.3798003596749993,-1.1517534268762675,-0.3639709873237117,-0.5546020112448634,-0.6711950496845553,-0.0927176737296734,5.0,0.0
previous_frozen_5m,stress27,540,40,7.407407407407407,2,10.0,0.260886040833921,-0.13500514623492213,1.9324155271825996,0.21471283635362218,-0.09541602752803782,-0.7067853890965765,-0.3798003596749993,-1.2112800830329284,-0.3839709873237117,-0.5746020112448634,-0.6911950496845553,-0.11271767372967338,5.0,0.0
previous_frozen_5m,stress27,540,40,7.407407407407407,5,10.0,0.230886040833921,-0.16500514623492216,1.3992656962662395,0.15547396625180437,-0.12541602752803782,-0.9290076113187986,-0.3798003596749993,-1.3005252510482457,-0.4139709873237116,-0.6046020112448633,-0.7211950496845553,-0.14271767372967342,5.0,0.0
previous_frozen_5m,stress27,540,40,7.407407407407407,10,7.5,0.24928082228041182,-0.20985090724223643,1.1878948990802332,0.09631580262812701,-0.1754160275280378,-1.2993779816891688,-0.3798003596749993,-1.473093913013701,-0.46397098732371167,-0.6546020112448634,-0.7711950496845553,-0.1927176737296734,5.0,0.0
previous_frozen_5m,stress27,540,40,7.407407407407407,20,5.0,0.26125397960130187,-0.30366181737695047,0.8603451756234284,0.04528132503281202,-0.27541602752803784,-2.0401187224299098,-0.3798003596749993,-1.8680730627367415,-0.5639709873237116,-0.7546020112448635,-0.8711950496845554,-0.2927176737296734,5.0,0.0
previous_frozen_5m,all83,1660,103,6.204819277108434,0,11.650485436893204,1.6936527451679266,-0.12232928754109115,13.845030729857054,1.8667457163852208,0.09161676068794179,0.5684654428227714,0.7354209865728136,-1.3484074627063802,-0.35898029422918226,-0.5661545198594713,-1.1870058742988383,-0.027180875106435114,6.796116504854369,0.0
previous_frozen_5m,all83,1660,103,6.204819277108434,2,11.650485436893204,1.6736527451679268,-0.13964073177095726,11.985419468533724,1.58049487497148,0.07161676068794177,0.4443690572806026,0.7354209865728136,-1.4275734373044524,-0.3789802942291823,-0.5861545198594713,-1.2070058742988383,-0.04718087510643511,6.796116504854369,0.0
previous_frozen_5m,all83,1660,103,6.204819277108434,5,11.650485436893204,1.6436527451679266,-0.1696407317709573,9.689021781556132,1.2776732019634462,0.04161676068794179,0.2582244789673496,0.7354209865728136,-1.5462330495577103,-0.40898029422918225,-0.6161545198594712,-1.2370058742988383,-0.0771808751064351,6.796116504854369,0.0
previous_frozen_5m,all83,1660,103,6.204819277108434,10,10.679611650485437,1.740739204138243,-0.21751744450720284,8.002756781562871,0.9568513543172996,-0.00838323931205822,-0.05201648488807208,0.7354209865728136,-2.12804592362833,-0.45898029422918224,-0.6661545198594712,-1.2870058742988384,-0.12718087510643514,6.796116504854369,0.0
previous_frozen_5m,all83,1660,103,6.204819277108434,20,9.70873786407767,1.812279673788204,-0.3149061331938068,5.754983732478939,0.6188154551052624,-0.10838323931205826,-0.6724984125989156,0.7354209865728136,-3.2981554623652265,-0.5589802942291823,-0.7661545198594713,-1.3870058742988385,-0.22718087510643512,6.796116504854369,0.0
transfer_27_90_to_5m,fit28,560,15,2.6785714285714284,0,6.666666666666667,4.383975047090523,-0.14508654615883307,30.216275479403716,2.1583053913859795,0.15685089339112399,0.42013632158336783,0.7992273302000115,-0.633429015604936,-0.3752446206254079,-0.6334290156049323,-0.6334290156049323,-0.1450865461588331,6.666666666666667,0.0
transfer_27_90_to_5m,fit28,560,15,2.6785714285714284,2,6.666666666666667,4.3639750470905225,-0.1650865461588331,26.434468154006048,1.8881762967147178,0.136850893391124,0.36656489301193923,0.7992273302000115,-0.6534290156049338,-0.395244620625408,-0.6534290156049323,-0.6534290156049323,-0.1650865461588331,6.666666666666667,0.0
