trading_date,owner,owner_name,lead_code,lead_name,option_type,strike,expiry,dte,volume,turnover,owner_turnover,owner_volume,n_contracts,oi_increment,iv,change_ratio,day_chg_pct,open_chg_pct,ret_1d,ret_2d,alert_reason
2026-08-10,HK.09988,阿里巴巴-W,HK.ALB260821C125000,ALB 260821 125.00 C,CALL,125.0,2026-08-21,11.0,222,617845.0,2392670.0,1332.0,7,200.0,56.675,,2.342487883683364,1.292407108239102,-0.23677979479084232,-3.235990528808219,contract+owner_sum
2026-08-10,HK.09992,泡泡玛特,HK.POP260821C150000,POP 260821 150.00 C,CALL,150.0,2026-08-21,11.0,875,1640590.0,1912212.0,1117.0,2,875.0,52.338,,-2.154626108998736,0.0,-1.1010362694300668,-2.2020725388601115,contract+owner_sum
2026-08-11,HK.09988,阿里巴巴-W,HK.ALB260821C130000,ALB 260821 130.00 C,CALL,130.0,2026-08-21,10.0,470,1082515.0,2946280.0,1291.0,7,288.0,59.073,-9.283,-0.23677979479084232,2.131018153117603,-3.0063291139240556,-3.560126582278478,contract+owner_sum
2026-08-12,HK.03690,美团-W,HK.MET260821C90000,MET 260821 90.00 C,CALL,90.0,2026-08-21,9.0,372,536210.0,1074945.0,926.0,3,270.0,33.606,-36.757,-1.5045674368618922,-0.8060182697474438,-0.436442989634489,-4.855428259683581,contract+owner_sum
2026-08-13,HK.09992,泡泡玛特,HK.POP260821C155000,POP 260821 155.00 C,CALL,155.0,2026-08-21,8.0,1252,1386794.0,2640186.0,2552.0,4,919.0,58.479,31.592,2.119205298013238,1.920529801324511,-0.06485084306095956,-0.45395590142670583,contract+owner_sum
2026-08-13,HK.00700,腾讯控股,HK.TCH260821C460000,TCH 260821 460.00 C,CALL,460.0,2026-08-21,8.0,1764,581949.0,1769568.0,4507.0,4,515.0,33.312,-80.759,-4.462738301559799,-3.2928942807625705,-0.22675736961451642,1.2244897959183598,contract+owner_sum
2026-08-13,HK.09988,阿里巴巴-W,HK.ALB260821C123000,ALB 260821 123.00 C,CALL,123.0,2026-08-21,8.0,205,436365.0,1726520.0,985.0,5,175.0,57.992,-13.868,-0.5709624796084722,-1.1419249592169556,-1.6406890894175574,0.24610336341264194,contract+owner_sum
2026-08-14,HK.00992,联想集团,HK.LEN260828C30000,LEN 260828 30.00 C,CALL,30.0,2026-08-28,14.0,310,2753200.0,10456480.0,2479.0,12,,64.627,-14.885,-3.72492836676217,-4.240687679083088,-1.72619047619047,-6.726190476190485,contract+owner_sum
2026-08-14,HK.01347,HUA HONG GRACE,HK.HOS260828C127500,HOS 260828 127.50 C,CALL,127.5,2026-08-28,14.0,165,2886780.0,9989600.0,767.0,11,150.0,78.048,-57.103,-11.54891304347826,0.0,7.4500768049155175,-0.9984639016896946,contract+owner_sum
2026-08-14,HK.09988,阿里巴巴-W,HK.ALB260821C120000,ALB 260821 120.00 C,CALL,120.0,2026-08-21,7.0,1255,2296125.0,8657800.0,9467.0,11,576.0,60.59,-27.579,-1.6406890894175574,-1.312551271534046,1.918265221017501,5.6713928273561365,contract+owner_sum
2026-08-14,HK.00700,腾讯控股,HK.TCH260828C450000,TCH 260828 450.00 C,CALL,450.0,2026-08-28,14.0,2601,1937000.0,7669624.0,15818.0,12,132.0,29.508,-12.845,-0.22675736961451642,-1.13378684807256,1.4545454545454417,0.5454545454545379,contract+owner_sum
2026-08-14,HK.00981,SMIC,HK.SMC260828C72500,SMC 260828 72.50 C,CALL,72.5,2026-08-28,14.0,251,1596200.0,6195525.0,1705.0,11,,60.161,59.523,4.811250925240573,4.737231680236875,6.144067796610186,7.13276836158192,contract+owner_sum
2026-08-14,HK.01810,小米集团-W,HK.MIU260828C15000,MIU 260828 15.00 C,CALL,15.0,2026-08-28,14.0,450,4783000.0,5965380.0,2663.0,4,,,-4.181,-1.0046367851622828,-0.07727975270478415,1.014832162373147,2.1857923497267784,contract+owner_sum
2026-08-14,JDC,,HK.JDC260828C110000,JDC 260828 110.00 C,CALL,110.0,2026-08-28,14.0,904,1617175.0,5479470.0,4776.0,8,520.0,32.684,-78.088,,,,,contract+owner_sum
2026-08-14,HK.03690,美团-W,HK.MET260821C86000,MET 260821 86.00 C,CALL,86.0,2026-08-21,7.0,815,911395.0,2840725.0,2660.0,5,779.0,38.815,-63.829,-4.438356164383562,-1.3698630136986356,0.5160550458715552,-1.8922018348623948,contract+owner_sum
2026-08-17,HK.09988,阿里巴巴-W,HK.ALB260828C100000,ALB 260828 100.00 C,CALL,100.0,2026-08-28,11.0,187,2158570.0,12635390.0,9648.0,20,,71.54,14.562,1.918265221017501,1.7514595496246788,3.682487725040917,1.6366612111292866,contract+owner_sum
2026-08-17,HK.00981,SMIC,HK.SMC260828C67500,SMC 260828 67.50 C,CALL,67.5,2026-08-28,11.0,83,1768050.0,10795500.0,1840.0,17,,67.093,64.854,6.144067796610186,0.7062146892655274,0.9314703925482171,-2.8609447771124508,contract+owner_sum
2026-08-17,HK.00700,腾讯控股,HK.TCH260828C450000,TCH 260828 450.00 C,CALL,450.0,2026-08-28,11.0,1654,1470933.0,7858444.0,14366.0,11,536.0,26.951,37.876,1.4545454545454417,1.090909090909098,-0.8960573476702538,0.17921146953405742,contract+owner_sum
2026-08-17,HK.03690,美团-W,HK.MET260828C90000,MET 260828 90.00 C,CALL,90.0,2026-08-28,11.0,3328,3382035.0,7306475.0,7947.0,4,2522.0,45.581,1.136,0.5160550458715552,0.0,-2.395892755276674,-0.68454078722191,contract+owner_sum
2026-08-17,HK.00992,联想集团,HK.LEN260828C26000,LEN 260828 26.00 C,CALL,26.0,2026-08-28,11.0,235,3520200.0,4885640.0,755.0,5,,105.795,-4.823,-1.72619047619047,2.6190476190476097,-5.087825560266513,-8.782556026650523,contract+owner_sum
2026-08-17,HK.01347,HUA HONG GRACE,HK.HOS260828C135000,HOS 260828 135.00 C,CALL,135.0,2026-08-28,11.0,57,956120.0,4586240.0,460.0,10,14.0,89.896,88.758,7.4500768049155175,1.382488479262678,-7.862759113652606,-18.727662616154394,contract+owner_sum
2026-08-17,HK.01810,小米集团-W,HK.MIU260828C26000,MIU 260828 26.00 C,CALL,26.0,2026-08-28,11.0,1151,1007050.0,3491520.0,3042.0,6,386.0,49.03,14.864,1.014832162373147,0.7025761124121788,1.1591962905718622,6.027820710973741,contract+owner_sum
2026-08-17,HK.09888,BIDU-W,HK.BIU260828C102500,BIU 260828 102.50 C,CALL,102.5,2026-08-28,11.0,2330,1288080.0,2682630.0,4947.0,3,1233.0,59.763,-1.538,-0.49603174603174427,0.694444444444442,0.7976071784645988,-10.319042871385841,contract+owner_sum
2026-08-17,AIA,,HK.AIA260821C74000,AIA 260821 74.00 C,CALL,74.0,2026-08-21,4.0,719,862570.0,1823320.0,1345.0,4,624.0,53.911,373.076,,,,,contract+owner_sum
2026-08-17,JDC,,HK.JDC260828C117500,JDC 260828 117.50 C,CALL,117.5,2026-08-28,11.0,988,697045.0,1698225.0,1547.0,3,802.0,35.683,73.437,,,,,contract+owner_sum
2026-08-17,YOF,,HK.YOF260828C152500,YOF 260828 152.50 C,CALL,152.5,2026-08-28,11.0,225,1344350.0,1344350.0,225.0,1,225.0,137.846,155.257,,,,,contract+owner_sum
2026-08-17,HK.02513,Z.AI,HK.KAT260828C1240000,KAT 260828 1240.00 C,CALL,1240.0,2026-08-28,11.0,81,860585.0,1099085.0,113.0,2,81.0,136.904,-44.601,-5.275590551181097,1.4173228346456623,-13.300083125519535,-15.876974231088948,contract+owner_sum
2026-08-17,HK.03308,ZJ INNOLIGHT,HK.ZJI260821C1275000,ZJI 260821 1275.00 C,CALL,1275.0,2026-08-21,4.0,142,421526.5,1053689.5,287.0,3,124.0,120.151,,8.186848860894646,0.42639837817159965,-3.7048354740109146,-13.400468735784177,contract+owner_sum
2026-08-18,HK.09988,阿里巴巴-W,HK.ALB260828C130000,ALB 260828 130.00 C,CALL,130.0,2026-08-28,10.0,4288,4920270.0,26870220.0,18028.0,22,,60.032,100.0,3.682487725040917,-0.16366612111292644,-1.9731649565903675,-0.39463299131807794,contract+owner_sum
2026-08-18,HK.03690,美团-W,HK.MET260828C85000,MET 260828 85.00 C,CALL,85.0,2026-08-28,10.0,2216,2534730.0,4650760.0,6339.0,4,,44.157,-37.236,-2.395892755276674,-1.426126640045633,1.7533606078316666,0.3506721215663422,contract+owner_sum
2026-08-18,HK.00981,SMIC,HK.SMC260821C77000,SMC 260821 77.00 C,CALL,77.0,2026-08-21,3.0,193,723575.0,4398300.0,1003.0,10,58.0,76.192,-4.827,0.9314703925482171,0.19960079840317668,-3.7574159525379014,-4.943968358602502,contract+owner_sum
2026-08-18,HK.01810,小米集团-W,HK.MIU260828C26000,MIU 260828 26.00 C,CALL,26.0,2026-08-28,10.0,1346,1177200.0,4277660.0,8372.0,5,149.0,53.242,23.529,1.1591962905718622,-1.4683153013910322,4.8128342245989275,6.035141329258975,contract+owner_sum
